/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0137.cnf: SAT (wall=2.83ms, cpu=0.798ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0138.cnf: SAT (wall=5.94ms, cpu=0.724ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0139.cnf: SAT (wall=2.50ms, cpu=0.683ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-014.cnf: SAT (wall=2.27ms, cpu=0.643ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0140.cnf: SAT (wall=2.21ms, cpu=0.663ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0141.cnf: SAT (wall=2.19ms, cpu=0.642ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0142.cnf: SAT (wall=2.26ms, cpu=0.679ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0143.cnf: SAT (wall=2.23ms, cpu=0.614ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0144.cnf: SAT (wall=2.23ms, cpu=0.661ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0145.cnf: SAT (wall=2.18ms, cpu=0.625ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0146.cnf: SAT (wall=2.15ms, cpu=0.610ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0147.cnf: SAT (wall=2.11ms, cpu=0.633ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0148.cnf: SAT (wall=2.06ms, cpu=0.615ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0149.cnf: SAT (wall=2.12ms, cpu=0.654ms)
